"","SubjID","@1A","@1B","@1C","@1D","@1E","@2A","@2B","@2C","@2D","@2E","@3A","@3B","@3C","@3D","@3E","@4A","@4B","@4C","@4D","@4E","@5A","@5B","@5C","@5D","@5E","@6A","@6B","@6C","@6D","@6E","@7A","@7B","@7C","@7D","@7E","@8A","@8B","@8C","@8D","@8E","c1understandingothers","c2expcomm","c3assert","c4feedback","c5influence","c6dispute","c7teamwork","c8flex","OverallScore"
"39",39,3,3,2,2,3,3,2,2,2,3,2,2,2,2,2,3,1,1,2,3,2,1,4,2,2,1,1,3,2,1,1,1,1,1,1,1,3,1,2,3,52,48,40,40,44,32,20,40,39.5
"40",40,4,3,3,4,3,4,3,3,3,2,3,3,2,3,3,4,3,2,3,3,3,2,3,2,3,2,3,3,2,3,3,1,3,1,3,3,2,3,3,2,68,60,56,60,52,52,44,52,55.5
"41",41,3,3,4,2,4,4,3,3,3,3,2,1,4,2,4,3,3,2,2,3,4,3,1,3,2,3,2,2,1,1,3,1,1,1,1,3,3,2,2,1,64,64,52,52,52,36,28,44,49
"42",42,2,1,1,3,2,3,3,3,3,2,2,1,3,3,3,4,3,3,3,3,3,3,4,2,3,3,1,1,1,1,1,1,1,1,1,3,3,2,1,3,36,56,48,64,60,28,20,48,45
"43",43,4,4,4,3,2,3,3,2,3,2,3,2,3,2,3,2,3,3,1,3,2,3,3,2,3,2,1,3,2,3,3,3,1,1,3,2,2,2,1,2,68,52,52,48,52,44,44,36,49.5
"44",44,4,3,4,2,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,1,1,1,1,2,2,3,1,1,3,3,1,1,68,80,72,80,80,24,36,36,59.5
"45",45,4,2,3,2,3,4,4,3,4,4,3,1,2,2,4,4,4,4,4,4,1,1,1,2,4,2,2,2,3,3,3,3,1,3,3,3,2,2,2,3,56,76,48,80,36,48,52,48,55.5
"46",46,3,3,3,3,4,4,4,4,3,3,4,2,4,3,3,4,3,3,3,3,3,3,3,2,3,3,2,3,2,1,1,1,3,3,3,1,3,3,3,1,64,72,64,64,56,44,44,44,56.5
"47",47,4,4,2,1,3,3,2,1,1,4,1,4,4,3,2,4,4,4,3,4,3,4,2,1,4,2,3,3,3,1,1,1,1,1,1,1,3,1,3,1,56,44,56,76,56,48,20,36,49
"48",48,3,2,2,3,3,3,3,2,3,3,2,3,4,2,4,3,3,2,2,4,2,3,1,4,4,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,52,56,60,56,56,28,20,20,43.5
"49",49,3,4,4,3,3,2,3,4,4,3,3,1,4,4,4,4,4,4,4,4,3,4,4,4,4,3,2,3,1,1,1,1,3,1,1,3,3,3,1,3,68,64,64,80,76,40,28,52,59
"50",50,2,3,3,3,3,4,3,3,4,3,3,2,3,2,3,4,2,2,3,4,4,4,3,3,3,2,3,2,3,2,2,3,2,3,2,3,2,2,2,2,56,68,52,60,68,48,48,44,55.5
"51",51,2,2,3,4,4,3,3,3,3,1,3,4,4,4,3,3,1,3,3,2,1,4,4,2,3,3,3,2,3,3,3,1,3,1,1,3,1,1,1,3,60,52,72,48,56,56,36,36,52
"52",52,4,4,3,1,4,2,2,3,3,3,2,1,4,4,4,4,4,4,3,2,4,4,2,4,2,3,3,3,2,1,3,1,1,1,3,1,1,3,3,3,64,52,60,68,64,48,36,44,54.5
"53",53,4,4,3,3,4,4,2,2,2,3,4,3,2,3,4,4,3,3,3,4,4,3,3,4,3,3,3,2,1,1,1,3,2,3,3,2,1,3,1,1,72,52,64,68,68,40,48,32,55.5
"54",54,4,2,3,4,4,2,2,2,3,4,3,2,3,3,4,3,2,2,3,3,2,4,3,2,3,3,2,1,3,3,3,3,2,3,1,1,2,3,2,3,68,52,60,52,56,48,48,44,53.5
"55",55,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,2,1,1,3,1,1,3,1,1,3,3,3,3,1,3,76,76,80,80,72,32,36,52,63
"56",56,2,2,1,4,4,4,4,4,4,1,4,2,4,4,4,4,4,4,4,4,3,2,4,4,4,3,3,3,3,1,1,1,3,1,1,3,3,2,3,3,52,68,72,80,68,52,28,56,59.5
"57",57,4,4,4,4,4,3,2,3,3,3,3,2,4,3,4,4,3,4,4,4,3,3,4,3,4,1,3,1,1,1,1,1,1,3,1,1,1,1,3,1,80,56,64,76,68,28,28,28,53.5
"58",58,4,4,3,4,4,4,3,4,4,3,4,3,4,4,2,4,1,2,3,3,1,2,1,1,1,1,3,2,3,2,3,3,2,3,3,2,3,2,3,2,76,72,68,52,24,44,56,48,55
"59",59,2,3,2,1,3,2,2,2,2,3,2,2,4,2,2,3,1,1,2,2,2,3,3,3,2,1,1,1,1,1,1,1,3,1,3,3,1,3,1,3,44,44,48,36,52,20,36,44,40.5
"60",60,4,3,3,4,3,4,4,4,3,4,3,4,4,3,4,3,4,3,3,4,4,3,3,4,3,2,1,1,3,3,1,3,3,3,3,1,3,3,2,2,68,76,72,68,68,40,52,44,61
"61",61,4,4,4,3,4,4,3,3,3,3,3,3,3,4,4,4,4,4,3,4,3,4,3,3,3,2,1,3,1,1,3,1,3,2,3,3,3,3,1,3,76,64,68,76,64,32,48,52,60
"62",62,4,3,4,3,3,4,4,4,4,3,4,3,3,3,4,4,4,4,4,4,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,68,76,68,80,76,60,60,60,68.5
"63",63,4,4,3,4,3,4,2,4,2,1,2,3,4,3,2,4,4,4,4,4,4,3,4,3,4,3,3,3,3,3,1,3,1,3,3,1,2,3,3,3,72,52,56,80,72,60,44,48,60.5
"64",64,2,2,2,3,1,2,4,4,3,3,4,4,4,4,3,4,4,4,4,4,3,4,2,4,4,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,40,64,76,80,68,28,20,20,49.5
"65",65,4,3,1,4,4,3,4,2,3,3,4,2,3,3,4,4,4,4,4,3,4,3,2,4,4,3,3,3,3,3,3,1,1,1,1,1,3,3,2,3,64,60,64,76,68,60,28,48,58.5
"66",66,3,3,4,2,3,3,4,3,3,4,3,4,2,3,3,2,4,3,2,4,3,3,4,3,4,1,3,3,1,3,1,1,1,1,1,3,2,2,1,1,60,68,60,60,68,44,20,36,52
"67",67,3,4,3,3,2,3,4,2,3,4,3,1,4,4,4,4,4,4,4,4,4,4,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,2,2,3,60,64,64,80,68,56,60,48,62.5
